GLOBAL,ap-northeast-1,ap-northeast-2,ap-northeast-3,ap-south-1,ap-southeast-1,ap-southeast-2,ca-central-1,cn-north-1,cn-northwest-1,eu-central-1,eu-north-1,eu-west-1,eu-west-2,eu-west-3,sa-east-1,us-east-1,us-east-2,us-gov-east-1,us-gov-west-1,us-west-1,us-west-2
13.32.0.0/15,13.112.0.0/14,13.124.0.0/16,13.208.0.0/16,13.126.0.0/15,13.228.0.0/15,13.54.0.0/15,35.182.0.0/15,52.80.0.0/16,52.82.176.0/22,18.184.0.0/15,13.53.0.0/16,18.200.0.0/16,18.130.0.0/16,35.180.0.0/16,18.228.0.0/16,18.204.0.0/14,13.58.0.0/15,18.253.0.0/16,52.46.176.0/22,13.52.0.0/16,18.236.0.0/15
13.35.0.0/16,13.230.0.0/15,13.125.0.0/16,13.248.0.0/20,13.232.0.0/14,13.250.0.0/15,13.210.0.0/15,52.60.0.0/16,52.81.0.0/16,52.82.180.0/22,18.194.0.0/15,52.46.192.0/20,34.240.0.0/13,35.176.0.0/15,52.46.64.0/20,18.231.0.0/16,18.208.0.0/13,18.188.0.0/16,52.46.96.0/19,52.46.224.0/20,13.56.0.0/16,34.208.0.0/12
52.46.0.0/18,18.179.0.0/16,13.209.0.0/16,13.248.16.0/21,35.154.0.0/16,18.136.0.0/16,13.236.0.0/14,52.92.84.0/22,52.94.249.0/28,52.82.187.0/24,18.196.0.0/15,52.46.208.0/21,34.248.0.0/13,35.178.0.0/15,52.46.80.0/21,52.46.172.0/22,18.232.0.0/14,18.191.0.0/16,52.94.22.0/24,52.61.0.0/16,13.57.0.0/16,35.155.0.0/16
52.84.0.0/15,18.182.0.0/16,52.78.0.0/16,13.248.24.0/22,52.66.0.0/16,43.250.192.0/24,52.62.0.0/15,52.93.5.0/24,52.95.255.144/28,52.82.188.0/22,35.156.0.0/14,52.46.216.0/22,46.51.128.0/18,52.56.0.0/16,52.46.88.0/22,52.67.0.0/16,23.20.0.0/14,18.216.0.0/14,52.94.249.112/28,52.92.252.0/22,18.144.0.0/15,35.160.0.0/13
52.95.110.0/24,27.0.0.0/22,52.79.0.0/16,13.248.28.0/22,52.92.248.0/22,43.250.193.0/24,52.64.0.0/17,52.94.14.0/24,54.222.0.0/19,52.82.192.0/18,52.28.0.0/16,52.46.220.0/22,46.51.192.0/20,52.92.88.0/22,52.46.92.0/22,52.92.39.0/24,34.192.0.0/12,18.220.0.0/14,52.95.166.0/23,52.94.9.0/24,50.18.0.0/16,50.112.0.0/16
52.222.128.0/17,46.51.224.0/19,52.92.0.0/20,52.94.19.0/24,52.94.20.0/24,46.51.216.0/21,52.64.128.0/17,52.94.64.0/22,54.222.32.0/22,52.83.0.0/16,52.29.0.0/16,52.94.23.0/24,46.137.0.0/17,52.94.15.0/24,52.47.0.0/16,52.92.64.0/22,34.224.0.0/12,18.224.0.0/14,52.95.168.0/24,52.94.198.32/28,52.8.0.0/16,52.10.0.0/15
54.182.0.0/16,52.68.0.0/15,52.94.6.0/24,52.94.249.96/28,52.94.198.80/28,46.137.192.0/19,52.65.0.0/16,52.94.80.0/20,54.222.36.0/22,52.94.249.16/28,52.46.184.0/22,52.95.227.0/24,46.137.128.0/18,52.94.32.0/20,52.94.16.0/24,52.92.72.0/22,35.153.0.0/16,52.14.0.0/16,54.239.1.64/28,52.94.248.224/28,52.9.0.0/16,52.12.0.0/15
54.192.0.0/16,52.92.60.0/22,52.94.198.64/28,52.95.157.0/24,52.94.248.144/28,46.137.224.0/19,52.92.52.0/22,52.94.96.0/20,54.222.48.0/22,54.239.0.176/28,52.57.0.0/16,13.53.0.0/16,52.16.0.0/15,52.94.48.0/20,52.94.249.32/28,52.94.7.0/24,35.168.0.0/13,52.15.0.0/16,52.95.166.0/23,52.95.100.0/22,52.52.0.0/15,52.24.0.0/14
54.230.0.0/16,52.92.80.0/22,52.94.248.176/28,52.95.158.0/23,52.95.64.0/20,52.74.0.0/16,52.94.13.0/24,52.94.198.128/28,54.222.57.0/24,52.82.188.0/22,52.58.0.0/15,52.95.227.0/24,52.18.0.0/15,52.94.112.0/22,52.95.154.0/23,52.94.198.16/28,50.16.0.0/15,52.92.76.0/22,52.95.168.0/24,52.95.142.0/23,52.92.48.0/22,52.32.0.0/14
54.239.128.0/18,52.94.8.0/24,52.95.111.0/24,52.95.225.0/24,52.95.80.0/20,52.76.0.0/17,52.94.198.112/28,52.94.248.208/28,54.222.58.0/28,52.82.176.0/22,52.92.68.0/22,,52.30.0.0/15,52.94.198.144/28,52.95.156.0/24,52.94.206.0/23,50.19.0.0/16,52.94.4.0/24,18.253.0.0/16,52.95.144.0/24,52.93.34.56/32,52.36.0.0/14
54.239.192.0/19,52.94.200.0/24,52.95.192.0/20,54.239.1.48/28,52.95.96.0/22,52.76.128.0/17,52.94.248.64/28,52.95.145.0/24,54.222.128.0/17,52.82.180.0/22,52.93.48.22/31,,52.48.0.0/14,52.94.248.192/28,52.95.254.0/24,52.94.248.48/28,52.0.0.0/15,52.94.199.0/24,52.94.249.112/28,52.119.208.0/23,52.93.34.57/32,52.40.0.0/14
54.240.128.0/18,52.94.248.80/28,52.95.252.0/24,52.95.157.0/24,52.95.249.0/24,52.77.0.0/16,52.95.36.0/22,52.95.146.0/23,54.223.0.0/16,52.83.0.0/16,52.94.17.0/24,,52.92.40.0/21,52.95.148.0/23,52.144.209.128/26,52.95.136.0/23,52.2.0.0/15,52.94.248.160/28,2600:1f00:5000::/40,52.222.0.0/17,52.93.37.222/32,52.46.180.0/22
70.132.0.0/18,52.95.30.0/23,52.219.56.0/22,52.95.158.0/23,52.219.62.0/23,52.92.56.0/22,52.95.128.0/21,52.95.250.0/24,54.239.0.144/28,52.94.249.16/28,52.94.69.0/24,,52.93.0.0/24,52.95.150.0/24,52.144.210.64/26,52.95.138.0/24,52.4.0.0/14,52.95.0.0/20,2600:1f15::/32,54.239.0.128/28,52.93.37.223/32,52.75.0.0/16
143.204.0.0/16,52.95.34.0/24,52.219.60.0/23,13.208.0.0/16,52.219.64.0/22,52.93.8.0/22,52.95.241.0/24,54.239.1.0/28,54.222.48.0/22,2400:6500:100:7200::/56,52.94.198.48/28,,52.93.2.0/24,52.95.253.0/24,54.239.1.16/28,52.95.163.0/24,52.20.0.0/14,52.95.16.0/21,2600:1fa0:5000::/40,96.127.0.0/17,52.94.12.0/24,52.88.0.0/15
204.246.164.0/22,52.95.56.0/22,54.239.0.192/28,52.94.249.96/28,54.239.0.208/28,52.93.19.236/32,52.95.255.16/28,52.92.84.0/22,52.80.0.0/16,240f:8000:4000::/40,52.94.204.0/23,,52.93.16.0/24,52.144.209.64/26,52.95.154.0/23,52.95.164.0/23,52.44.0.0/15,52.95.24.0/22,2600:1ff8:5000::/36,205.251.236.0/22,52.94.72.0/22,52.92.32.0/22
204.246.168.0/22,52.95.243.0/24,54.239.116.0/22,52.95.225.0/24,52.92.248.0/22,52.93.19.237/32,52.119.210.0/23,52.95.145.0/24,52.81.0.0/16,240f:8014::/36,52.94.248.112/28,,52.93.17.16/32,52.144.209.192/26,52.95.156.0/24,52.95.240.0/24,52.46.128.0/19,52.95.28.0/24,2600:1ff9:5000::/40,52.92.252.0/22,52.94.198.0/28,52.93.20.16/32
204.246.174.0/23,52.95.255.48/28,54.239.120.0/21,2406:da00:6000::/40,52.219.62.0/23,52.94.11.0/24,52.144.224.64/26,52.95.146.0/23,52.94.249.0/28,240f:80a0:4000::/40,52.95.248.0/24,,52.93.17.17/32,54.239.0.240/28,35.180.0.0/16,52.95.255.0/28,52.46.164.0/23,52.95.251.0/24,2600:1ffa:5000::/40,52.95.142.0/23,52.94.248.128/28,52.93.20.17/32
204.246.176.0/20,52.119.216.0/21,52.92.0.0/20,2406:da16::/36,52.219.64.0/22,52.94.198.96/28,54.66.0.0/16,35.182.0.0/15,52.95.255.144/28,240f:80f8:4000::/40,52.95.255.128/28,,52.93.18.178/32,52.92.88.0/22,52.47.0.0/16,54.94.0.0/16,52.54.0.0/15,52.144.196.192/26,2600:1ffc:5000::/40,52.95.144.0/24,52.94.249.80/28,52.94.10.0/24
205.251.192.0/19,52.144.225.64/26,52.219.56.0/22,2406:daa0:6000::/40,13.126.0.0/15,52.94.248.32/28,54.79.0.0/16,52.60.0.0/16,54.222.32.0/22,240f:80f9:4000::/40,52.119.188.0/22,,52.93.18.179/32,52.95.148.0/23,52.94.249.32/28,54.207.0.0/16,52.70.0.0/15,52.219.80.0/20,2600:1ffe:5000::/40,52.61.0.0/16,52.95.246.0/24,52.94.28.0/23
205.251.249.0/24,52.144.225.128/26,52.219.60.0/23,2406:daf8:6000::/40,13.232.0.0/14,52.95.35.0/24,54.153.128.0/17,52.94.248.208/28,54.222.36.0/22,240f:80fa:4000::/40,52.144.209.0/26,,52.93.21.14/32,52.95.150.0/24,52.95.254.0/24,54.231.253.0/24,52.72.0.0/15,52.219.96.0/20,2600:1fff:5000::/40,52.94.248.224/28,52.95.255.96/28,52.94.76.0/22
205.251.250.0/23,52.192.0.0/15,13.124.0.0/16,2406:daf9:6000::/40,35.154.0.0/16,52.95.212.0/22,54.206.0.0/16,52.95.250.0/24,54.222.128.0/17,240f:80fc:4000::/40,52.219.44.0/22,,52.93.21.15/32,18.130.0.0/16,52.47.139.0/24,54.232.0.0/16,52.86.0.0/15,54.239.0.224/28,2600:1fa0:5000::/40,52.222.0.0/17,52.119.176.0/21,52.94.116.0/22
205.251.252.0/23,52.194.0.0/15,13.125.0.0/16,2406:dafa:6000::/40,52.66.0.0/16,52.95.242.0/24,54.231.248.0/22,35.182.14.48/29,54.223.0.0/16,240f:80fe:4000::/40,52.219.72.0/22,,52.94.5.0/24,35.176.0.0/15,2a05:d000:2000::/40,54.233.0.0/18,52.90.0.0/15,52.92.76.0/22,2600:1ff8:5000::/36,96.127.0.0/17,52.144.194.192/26,52.94.120.0/22
205.251.254.0/24,52.196.0.0/14,13.209.0.0/16,2406:dafc:6000::/40,52.94.248.144/28,52.95.255.32/28,54.231.252.0/24,2600:1f00:1000::/40,2400:6500:100:7100::/56,240f:80ff:4000::/40,54.93.0.0/16,,52.94.24.0/23,35.178.0.0/15,2a05:d012::/36,54.233.64.0/18,52.92.16.0/20,52.219.80.0/20,2600:1ff9:5000::/40,2600:1f00:2000::/40,52.219.20.0/22,52.94.197.0/24
216.137.32.0/19,52.219.0.0/20,52.78.0.0/16,2406:dafe:6000::/40,52.95.249.0/24,52.119.184.0/22,54.239.0.112/28,2600:1f11::/36,240f:8000:8000::/40,240f:80a0:4000::/40,54.231.192.0/20,,52.94.26.0/23,52.56.0.0/16,2a05:d050:2000::/40,54.233.128.0/17,52.93.1.0/24,52.219.96.0/20,2600:1ffa:5000::/40,2600:1f12::/36,52.219.24.0/21,52.94.208.0/21
52.95.110.0/24,52.219.16.0/22,52.79.0.0/16,2406:daff:6000::/40,52.66.194.128/26,52.119.205.0/24,54.240.192.0/22,2600:1fa0:1000::/40,240f:8018::/36,240f:80f8:4000::/40,54.239.0.160/28,,52.94.196.0/24,52.94.248.192/28,2a05:d078:2000::/40,54.239.0.64/28,52.93.3.0/24,13.58.0.0/15,2600:1f00:5000::/40,2600:1fa0:2000::/40,54.67.0.0/16,52.94.248.96/28
205.251.192.0/21,52.219.68.0/22,52.94.248.176/28,2406:daa0:6000::/40,13.127.70.136/29,52.144.224.128/26,54.240.203.0/24,2600:1ff8:1000::/40,240f:80a0:8000::/40,240f:80f9:4000::/40,54.239.4.0/22,,52.94.216.0/21,52.95.253.0/24,2a05:d079:2000::/40,54.240.244.0/22,52.93.4.0/24,18.188.0.0/16,2600:1f15::/32,2600:1ff8:2000::/40,54.151.0.0/17,52.94.249.64/28
13.32.0.0/15,54.64.0.0/15,52.95.252.0/24,2406:daf8:6000::/40,2400:6500:0:7500::/56,52.219.32.0/21,54.240.204.0/22,2600:1ff9:1000::/40,240f:80f8:8000::/40,240f:80fa:4000::/40,54.239.54.0/23,,52.94.248.16/28,52.56.127.0/25,2a05:d07a:2000::/40,177.71.128.0/17,52.93.51.28/32,18.191.0.0/16,2600:1fff:5000::/40,2600:1ff9:2000::/40,54.153.0.0/17,52.95.40.0/24
13.35.0.0/16,54.92.0.0/17,13.124.199.0/24,2406:daf9:6000::/40,2406:da00:a000::/40,52.219.40.0/22,54.252.0.0/16,2600:1ffa:1000::/40,240f:80f9:8000::/40,240f:8000:4000::/40,54.239.56.0/21,,52.95.60.0/24,35.176.92.32/29,2a05:d07c:2000::/40,177.72.240.0/21,52.93.51.29/32,18.216.0.0/14,,2600:1ffa:2000::/40,54.176.0.0/15,52.95.247.0/24
52.46.0.0/18,54.95.0.0/16,52.78.247.128/26,2406:dafa:6000::/40,2406:da1a::/36,52.219.76.0/22,54.253.0.0/16,2600:1ffc:1000::/40,240f:80fa:8000::/40,240f:8014::/36,52.92.68.0/22,,52.95.61.0/24,2a01:578:0:7200::/56,2a05:d07e:2000::/40,54.232.40.64/26,52.93.249.0/24,18.220.0.0/14,,2600:1ffc:2000::/40,54.183.0.0/16,52.95.255.112/28
52.84.0.0/15,54.150.0.0/16,13.124.145.16/29,2406:da00:6000::/40,2406:daa0:a000::/40,52.220.0.0/15,103.8.172.0/22,2600:1ffe:1000::/40,240f:80fc:8000::/40,240f:80ff:4000::/40,52.219.44.0/22,,52.95.104.0/22,2a05:d000:c000::/40,2a05:d07f:2000::/40,177.71.207.128/26,52.94.0.0/22,18.224.0.0/14,,2600:1ffe:2000::/40,54.193.0.0/16,52.119.160.0/20
52.222.128.0/17,54.168.0.0/16,2400:6500:0:7400::/56,2406:da16::/36,2406:daf8:a000::/40,54.151.128.0/17,54.252.79.128/26,2600:1fff:1000::/40,240f:80fe:8000::/40,,52.219.72.0/22,,52.95.112.0/20,2a05:d01c::/36,2a05:d050:2000::/40,52.92.39.0/24,52.94.68.0/24,52.14.0.0/16,,2600:1fff:2000::/40,54.215.0.0/16,52.119.252.0/22
54.182.0.0/16,54.178.0.0/16,2406:da00:2000::/40,2406:daff:6000::/40,2406:daf9:a000::/40,54.169.0.0/16,54.252.254.192/26,2620:107:4000:7800::/56,240f:80ff:8000::/40,,54.231.192.0/20,,52.95.244.0/24,2a05:d050:c000::/40,2a05:d078:2000::/40,52.92.64.0/22,52.94.124.0/22,52.15.0.0/16,,2620:107:4000:5::/64,54.219.0.0/16,52.144.194.64/26
54.192.0.0/16,54.199.0.0/16,2406:da12::/36,,2406:dafa:a000::/40,54.179.0.0/16,52.92.52.0/22,2600:1fa0:1000::/40,240f:80a0:8000::/40,,18.184.0.0/15,,52.95.255.64/28,2a05:d078:c000::/40,2a05:d079:2000::/40,52.92.72.0/22,52.94.192.0/22,52.94.248.160/28,,2620:107:4000:7400::/56,54.231.232.0/21,52.144.194.128/26
54.230.0.0/16,54.231.224.0/21,2406:daa0:2000::/40,,2406:dafc:a000::/40,54.231.240.0/22,52.95.128.0/21,2600:1ff8:1000::/40,240f:80f8:8000::/40,,18.194.0.0/15,,52.119.192.0/22,2a05:d079:c000::/40,2a05:d07a:2000::/40,52.95.136.0/23,52.94.224.0/20,52.95.251.0/24,,2620:108:d000::/44,54.239.0.16/28,52.218.128.0/17
54.239.128.0/18,54.238.0.0/16,2406:daf8:2000::/40,,2406:dafe:a000::/40,54.239.0.96/28,54.231.248.0/22,2600:1ff9:1000::/40,240f:80f9:8000::/40,,18.196.0.0/15,,52.119.240.0/21,2a05:d07a:c000::/40,2a05:d000:2000::/40,52.95.138.0/24,52.94.240.0/22,13.59.250.0/26,,2600:1fa0:2000::/40,54.240.198.0/24,54.68.0.0/14
54.239.192.0/19,54.239.0.80/28,2406:daf9:2000::/40,,2406:daff:a000::/40,54.240.199.0/24,54.231.252.0/24,2600:1ffa:1000::/40,240f:80fa:8000::/40,,35.156.0.0/14,,52.144.208.64/26,2a05:d07c:c000::/40,2a05:d012::/36,52.95.163.0/24,52.94.244.0/22,18.216.170.128/25,,2600:1ff8:2000::/40,54.240.212.0/22,54.148.0.0/15
54.240.128.0/18,54.239.52.0/23,2406:dafa:2000::/40,,2406:daa0:a000::/40,54.240.226.0/24,13.54.0.0/15,2600:1f00:1000::/40,240f:8000:8000::/40,,52.28.0.0/16,,52.144.208.128/26,2a05:d07e:c000::/40,2a05:d07f:2000::/40,52.95.164.0/23,52.94.248.0/28,52.15.127.128/26,,2600:1ff9:2000::/40,54.241.0.0/16,54.184.0.0/13
70.132.0.0/18,54.239.96.0/24,2406:dafc:2000::/40,,2406:daf8:a000::/40,54.240.227.0/24,13.210.0.0/15,2600:1f11::/36,240f:8018::/36,,52.29.0.0/16,,52.144.208.192/26,2a05:d07f:c000::/40,,54.231.253.0/24,52.94.252.0/23,52.15.247.208/29,,2600:1ffa:2000::/40,176.32.112.0/21,54.200.0.0/15
143.204.0.0/16,54.240.200.0/24,2406:dafe:2000::/40,,2406:daf9:a000::/40,54.251.0.0/16,13.236.0.0/14,2600:1fff:1000::/40,240f:80ff:8000::/40,,52.46.184.0/22,,52.144.210.128/26,2a05:d050:c000::/40,,18.228.0.0/16,52.94.254.0/23,2600:1f00:6000::/40,,2600:1f00:2000::/40,184.72.0.0/18,54.202.0.0/15
204.246.164.0/22,54.240.225.0/24,2406:daff:2000::/40,,2406:dafa:a000::/40,54.254.0.0/16,52.62.0.0/15,,,,52.57.0.0/16,,52.208.0.0/13,2a05:d078:c000::/40,,18.231.0.0/16,52.95.48.0/22,2600:1f16::/36,,2600:1f12::/36,184.169.128.0/17,54.212.0.0/15
204.246.168.0/22,54.248.0.0/15,2406:daa0:2000::/40,,2406:da00:a000::/40,54.255.0.0/16,52.64.0.0/17,,,,52.58.0.0/15,,52.218.0.0/17,2a05:d079:c000::/40,,52.67.0.0/16,52.95.62.0/24,2600:1fa0:6000::/40,,2600:1fff:2000::/40,204.236.128.0/18,54.214.0.0/16
204.246.174.0/23,54.250.0.0/16,2406:daf8:2000::/40,,2406:da1a::/36,103.246.148.0/23,52.64.128.0/17,,,,52.94.248.112/28,,54.72.0.0/15,2a05:d07a:c000::/40,,52.94.248.48/28,52.95.63.0/24,2600:1ff8:6000::/40,,2620:108:d00f::/64,204.246.160.0/22,54.218.0.0/16
204.246.176.0/20,103.4.8.0/21,2406:daf9:2000::/40,,2406:daff:a000::/40,122.248.192.0/18,52.65.0.0/16,,,,52.95.248.0/24,,54.74.0.0/15,2a05:d000:c000::/40,,52.95.240.0/24,52.95.108.0/23,2600:1ff9:6000::/40,,,205.251.228.0/22,54.231.160.0/19
